"simid","start","end"
1,1,500
1,501,1000
1,1001,1500
1,1501,2000
2,1,500
2,501,1000
2,1001,1500
2,1501,2000
3,1,500
3,501,1000
3,1001,1500
3,1501,2000
4,1,500
4,501,1000
4,1001,1500
4,1501,2000
5,1,500
5,501,1000
5,1001,1500
5,1501,2000
6,1,500
6,501,1000
6,1001,1500
6,1501,2000
7,1,500
7,501,1000
7,1001,1500
7,1501,2000
8,1,500
8,501,1000
8,1001,1500
8,1501,2000
9,1,500
9,501,1000
9,1001,1500
9,1501,2000
10,1,500
10,501,1000
10,1001,1500
10,1501,2000
11,1,500
11,501,1000
11,1001,1500
11,1501,2000
12,1,500
12,501,1000
12,1001,1500
12,1501,2000
13,1,500
13,501,1000
13,1001,1500
13,1501,2000
14,1,500
14,501,1000
14,1001,1500
14,1501,2000
15,1,500
15,501,1000
15,1001,1500
15,1501,2000
16,1,500
16,501,1000
16,1001,1500
16,1501,2000
17,1,500
17,501,1000
17,1001,1500
17,1501,2000
18,1,500
18,501,1000
18,1001,1500
18,1501,2000
19,1,500
19,501,1000
19,1001,1500
19,1501,2000
20,1,500
20,501,1000
20,1001,1500
20,1501,2000
21,1,500
21,501,1000
21,1001,1500
21,1501,2000
22,1,500
22,501,1000
22,1001,1500
22,1501,2000
23,1,500
23,501,1000
23,1001,1500
23,1501,2000
24,1,500
24,501,1000
24,1001,1500
24,1501,2000
25,1,500
25,501,1000
25,1001,1500
25,1501,2000
26,1,500
26,501,1000
26,1001,1500
26,1501,2000
27,1,500
27,501,1000
27,1001,1500
27,1501,2000
28,1,500
28,501,1000
28,1001,1500
28,1501,2000
29,1,500
29,501,1000
29,1001,1500
29,1501,2000
30,1,500
30,501,1000
30,1001,1500
30,1501,2000
31,1,500
31,501,1000
31,1001,1500
31,1501,2000
32,1,500
32,501,1000
32,1001,1500
32,1501,2000
